#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %    MHz    MHz   MB/s   MB/s 
 20260527    14:04:18       0      0     14      0      0      0      0    405    210      0      0 
 20260527    14:04:19       0      3     15      0      0      0      0    405    210      2      0 
 20260527    14:04:20       0      0     14      0      0      0      0    405    210      1      0 
 20260527    14:04:21       0      0     14      0      0      0      0    405    210      0      0 
 20260527    14:04:22       0      1     14      0      0      0      0    405    210      0      0 
 20260527    14:04:23       0      3     14      0      0      0      0    405    210      1      0 
 20260527    14:04:24       0      0     13      0      0      0      0    405    210     11      0 
 20260527    14:04:25       0      0     13      0      0      0      0    405    210     79      0 
 20260527    14:04:26       0      0     13      0      0      0      0    405    210      1      1 
 20260527    14:04:27       0      1     13      0      0      0      0    405    210      0      0 
 20260527    14:04:28       0      1     14      0      0      0      0    405    210      0      0 
 20260527    14:04:29       0      0     13      0      0      0      0    405    210      0      0 
 20260527    14:04:30       0      2     14      0      0      0      0    405    210      5      0 
 20260527    14:04:32       0      2     14      0      0      0      0    405    210      0      2 
 20260527    14:04:33       0      1     14      0      0      0      0    405    210      0      0 
 20260527    14:04:34       0      0     13      0      0      0      0    405    210      0      0 
 20260527    14:04:35       0      2     14      0      0      0      0    405    210      1      3 
 20260527    14:04:36       0      0     14      0      0      0      0    405    210      0      3 
 20260527    14:04:37       0      0     14      0      0      0      0    405    210      0      0 
 20260527    14:04:38       0      1     14      0      0      0      0    405    210      0      0 
 20260527    14:04:39       0      3     14      0      0      0      0    405    210      0      1 
 20260527    14:04:40       0      0     14      0      0      0      0    405    210      0      0 
 20260527    14:04:41       0      0     14      0      0      0      0    405    210      4      1 
 20260527    14:04:42       0      2     14      0      0      0      0    405    210      1      0 
 20260527    14:04:43       0      1     14      0      0      0      0    405    210      0      0 
 20260527    14:04:44       0      0     14      0      0      0      0    405    210      0      0 
 20260527    14:04:45       0      0     13      0      0      0      0    405    210      0      0 
 20260527    14:04:47       0      2     13      0      0      0      0    405    210     85     24 
 20260527    14:04:48       0      1     13      0      0      0      0    405    210      0      0 
 20260527    14:04:49       0      0     13      0      0      0      0    405    210      0      1 
 20260527    14:04:50       0      1     13      0      0      0      0    405    210      3      0 
 20260527    14:04:51       0      2     13      0      0      0      0    405    210      3      0 
 20260527    14:04:52       0      4      1      0     74      0      0  10251   2520    123    308 
 20260527    14:04:53       0      2      1      0    100      0      0  10251   2670    113    306 
 20260527    14:04:54       0      2      2      0    100      0      0  10251   2670     84    309 
 20260527    14:04:55       0      3      2      0    100      0      0  10251   2670    133    311 
 20260527    14:04:56       0      2      1      0    100      0      0  10251   2670    202    192 
 20260527    14:04:57       0      2      1      1    100      0      0  10251   2670    192    219 
 20260527    14:04:58       0      2      1      0    100      0      0  10251   2670    197    210 
 20260527    14:04:59       0      2      1      0    100      0      0  10251   2670    205    233 
 20260527    14:05:00       0      2      1      0    100      0      0  10251   2670    188    233 
 20260527    14:05:02       0      2      1      1    100      0      0  10251   2670    214    213 
 20260527    14:05:03       0      2      1      0    100      0      0  10251   2670    202    212 
 20260527    14:05:04       0      2      1      1    100      0      0  10251   2670     73    310 
#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %    MHz    MHz   MB/s   MB/s 
 20260527    14:05:05       0      2      2      0    100      0      0  10251   2670    176    214 
 20260527    14:05:06       0      2      1      0    100      0      0  10251   2670    224    172 
 20260527    14:05:07       0      3      1      1    100      0      0  10251   2670    214    195 
 20260527    14:05:08       0      2      1      0    100      0      0  10251   2670    180    231 
 20260527    14:05:09       0      2      1      1    100      0      0  10251   2670    187    216 
 20260527    14:05:10       0      2      1      0    100      0      0  10251   2670    211    200 
 20260527    14:05:11       0      2      1      1    100      0      0  10251   2670    231    195 
 20260527    14:05:12       0      2      1      0    100      0      0  10251   2670    206    213 
 20260527    14:05:13       0      2      1      0    100      0      0  10251   2670    174    214 
 20260527    14:05:14       0      2      1      0    100      0      0  10251   2670    170    253 
 20260527    14:05:15       0      2      1      0    100      0      0  10251   2670    181    215 
 20260527    14:05:17       0      2      1      1    100      0      0  10251   2670    184    213 
 20260527    14:05:18       0      2      2      0    100      0      0  10251   2670    180    215 
 20260527    14:05:19       0      2      1      0    100      0      0  10251   2670    178    214 
