#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %    MHz    MHz   MB/s   MB/s 
 20260527    14:38:48       0      2      1      1    100      0      0  10251   2670    122    315 
 20260527    14:38:49       0      2      2      0    100      0      0  10251   2670    108    379 
 20260527    14:38:50       0      4      2      1    100      0      0  10251   2670    103    343 
#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %    MHz    MHz   MB/s   MB/s 
 20260527    14:38:51       0      3      2      1    100      0      0  10251   2670    160    291 
 20260527    14:38:52       0      2      2      0    100      0      0  10251   2670    139    311 
 20260527    14:38:53       0      3      2      1    100      0      0  10251   2670    151    313 
 20260527    14:38:54       0      2      1      1    100      0      0  10251   2670    154    311 
 20260527    14:38:55       0      2      2      0    100      0      0  10251   2670    156    312 
 20260527    14:38:56       0      2      1      0    100      0      0  10251   2670     91    309 
 20260527    14:38:57       0      3      2      1    100      0      0  10251   2670     88    313 
 20260527    14:38:58       0      2      2      0    100      0      0  10251   2670    121    316 
 20260527    14:38:59       0      3      2      1    100      0      0  10251   2670     85    330 
 20260527    14:39:01       0      3      2      1    100      0      0  10251   2670    131    301 
 20260527    14:39:02       0      3      2      0    100      0      0  10251   2670    121    313 
 20260527    14:39:03       0      2      2      0    100      0      0  10251   2670    151    312 
 20260527    14:39:04       0      2      2      1    100      0      0  10251   2670     74    344 
 20260527    14:39:05       0      2      2      1    100      0      0  10251   2670    120    315 
 20260527    14:39:06       0      3      2      0    100      0      0  10251   2670    117    293 
 20260527    14:39:07       0      3      2      1    100      0      0  10251   2670    100    335 
 20260527    14:39:08       0      2      2      0    100      0      0  10251   2670    150    347 
 20260527    14:39:09       0      3      2      0    100      0      0  10251   2670     70    351 
 20260527    14:39:10       0      3      2      0    100      0      0  10251   2670     93    310 
 20260527    14:39:11       0      2      2      1    100      0      0  10251   2670    141    315 
 20260527    14:39:12       0      2      2      0    100      0      0  10251   2670    129    330 
 20260527    14:39:13       0      2      2      1    100      0      0  10251   2670    152    292 
 20260527    14:39:15       0      2      2      0    100      0      0  10251   2670    449    270 
 20260527    14:39:16       0      2      2      1    100      0      0  10251   2670    115    325 
 20260527    14:39:17       0      3      2      1    100      0      0  10251   2670    112    330 
 20260527    14:39:18       0      3      2      0    100      0      0  10251   2670    160    273 
 20260527    14:39:19       0      2      1      1    100      0      0  10251   2670    162    291 
 20260527    14:39:20       0      2      1      0    100      0      0  10251   2670    139    293 
 20260527    14:39:21       0      2      1      1    100      0      0  10251   2670    139    297 
 20260527    14:39:22       0      2      2      0    100      0      0  10251   2670    131    316 
 20260527    14:39:23       0      2      2      1    100      0      0  10251   2670    168    274 
 20260527    14:39:24       0      3      2      0    100      0      0  10251   2670     89    331 
 20260527    14:39:25       0      2      2      1    100      0      0  10251   2670    117    330 
 20260527    14:39:26       0      3      2      1    100      0      0  10251   2670    118    329 
 20260527    14:39:27       0      2      1      1    100      0      0  10251   2670    161    293 
 20260527    14:39:28       0      2      2      0    100      0      0  10251   2670    101    375 
 20260527    14:39:30       0      3      2      1    100      0      0  10251   2670     91    342 
 20260527    14:39:31       0      3      2      0    100      0      0  10251   2670    129    291 
 20260527    14:39:32       0      3      2      0    100      0      0  10251   2670    101    328 
 20260527    14:39:33       0      2      1      0    100      0      0  10251   2670    154    252 
 20260527    14:39:34       0      4      2      1    100      0      0  10251   2670    110    311 
 20260527    14:39:35       0      2      1      0    100      0      0  10251   2670    126    312 
 20260527    14:39:36       0      2      2      1    100      0      0  10251   2670    148    294 
 20260527    14:39:37       0      2      1      0    100      0      0  10251   2670    131    297 
#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %    MHz    MHz   MB/s   MB/s 
 20260527    14:39:38       0      2      1      0    100      0      0  10251   2670    107    350 
 20260527    14:39:39       0      3      2      0    100      0      0  10251   2670    150    295 
 20260527    14:39:40       0      2      2      0    100      0      0  10251   2670    163    294 
 20260527    14:39:41       0      2      2      0    100      0      0  10251   2670    167    283 
 20260527    14:39:42       0      2      1      0    100      0      0  10251   2670    156    293 
 20260527    14:39:44       0      3      2      0    100      0      0  10251   2670    114    309 
 20260527    14:39:45       0      2      1      0    100      0      0  10251   2670     95    308 
 20260527    14:39:46       0      3      2      0    100      0      0  10251   2670    138    274 
 20260527    14:39:47       0      2      2      1    100      0      0  10251   2670    149    292 
 20260527    14:39:48       0      3      2      1    100      0      0  10251   2670    154    255 
 20260527    14:39:49       0      3      2      0    100      0      0  10251   2670    135    293 
 20260527    14:39:50       0      3      2      0    100      0      0  10251   2670     82    315 
 20260527    14:39:51       0      2      2      0    100      0      0  10251   2670    105    317 
 20260527    14:39:52       0      2      2      0    100      0      0  10251   2670    143    274 
 20260527    14:39:53       0      2      2      0    100      0      0  10251   2670    152    292 
 20260527    14:39:54       0      3      2      1    100      0      0  10251   2670    385    309 
 20260527    14:39:55       0      2      2      0    100      0      0  10251   2670    130    291 
 20260527    14:39:56       0      2      2      0    100      0      0  10251   2670    134    331 
 20260527    14:39:57       0      3      2      1    100      0      0  10251   2670     85    352 
 20260527    14:39:59       0      2      1      0    100      0      0  10251   2670     97    350 
 20260527    14:40:00       0      3      2      0    100      0      0  10251   2670    129    312 
 20260527    14:40:01       0      3      2      0    100      0      0  10251   2670    144    349 
 20260527    14:40:02       0      3      2      0    100      0      0  10251   2670    122    333 
 20260527    14:40:03       0      2      1      1    100      0      0  10251   2670     70    350 
 20260527    14:40:04       0      2      2      1    100      0      0  10251   2670    136    313 
 20260527    14:40:05       0      3      2      1    100      0      0  10251   2670     99    334 
 20260527    14:40:06       0      2      2      1    100      0      0  10251   2670    167    291 
 20260527    14:40:07       0      2      1      0    100      0      0  10251   2670    166    251 
 20260527    14:40:08       0      2      1      1    100      0      0  10251   2670    175    283 
 20260527    14:40:09       0      3      2      0    100      0      0  10251   2670    118    328 
 20260527    14:40:10       0      2      2      0    100      0      0  10251   2670    104    314 
 20260527    14:40:11       0      2      2      0    100      0      0  10251   2670     99    327 
 20260527    14:40:12       0      2      2      1    100      0      0  10251   2670    165    271 
 20260527    14:40:14       0      3      2      0    100      0      0  10251   2670    149    290 
 20260527    14:40:15       0      2      2      0    100      0      0  10251   2670    112    333 
 20260527    14:40:16       0      3      2      0    100      0      0  10251   2670    140    297 
 20260527    14:40:17       0      2      2      0    100      0      0  10251   2670    131    314 
 20260527    14:40:18       0      3      2      1    100      0      0  10251   2670     95    325 
 20260527    14:40:19       0      2      2      0    100      0      0  10251   2670     82    337 
 20260527    14:40:20       0      2      1      0    100      0      0  10251   2670    163    298 
 20260527    14:40:21       0      3      2      0    100      0      0  10251   2670     99    337 
 20260527    14:40:22       0      3      2      0    100      0      0  10251   2670    104    349 
 20260527    14:40:23       0      3      2      0    100      0      0  10251   2670    105    346 
 20260527    14:40:24       0      2      1      1    100      0      0  10251   2670    142    278 
#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %    MHz    MHz   MB/s   MB/s 
 20260527    14:40:25       0      2      1      0    100      0      0  10251   2670    146    275 
 20260527    14:40:26       0      3      2      0    100      0      0  10251   2670    181    273 
 20260527    14:40:28       0      2      1      1    100      0      0  10251   2670    140    294 
 20260527    14:40:29       0      2      2      0    100      0      0  10251   2670    157    291 
 20260527    14:40:30       0      4      2      1    100      0      0  10251   2670    133    307 
 20260527    14:40:31       0      2      2      0    100      0      0  10251   2670    154    291 
 20260527    14:40:32       0      2      2      1    100      0      0  10251   2670    102    328 
 20260527    14:40:33       0      3      2      1    100      0      0  10251   2670    111    345 
 20260527    14:40:34       0      3      2      0    100      0      0  10251   2670    219    388 
 20260527    14:40:35       0      2      2      0    100      0      0  10251   2670     63    309 
 20260527    14:40:36       0      2      2      1    100      0      0  10251   2670    142    274 
 20260527    14:40:37       0      3      2      0    100      0      0  10251   2670    111    313 
 20260527    14:40:38       0      3      2      1    100      0      0  10251   2670    140    271 
 20260527    14:40:39       0      2      1      0    100      0      0  10251   2670    151    274 
 20260527    14:40:40       0      2      1      1    100      0      0  10251   2670    120    326 
 20260527    14:40:41       0      2      1      0    100      0      0  10251   2670    177    294 
 20260527    14:40:43       0      2      1      0    100      0      0  10251   2670    143    295 
 20260527    14:40:44       0      2      2      1    100      0      0  10251   2670     97    343 
 20260527    14:40:45       0      2      1      0    100      0      0  10251   2670    162    292 
 20260527    14:40:46       0      3      2      1    100      0      0  10251   2670    172    273 
 20260527    14:40:47       0      3      2      1    100      0      0  10251   2670    105    332 
 20260527    14:40:48       0      3      2      1    100      0      0  10251   2670    124    346 
 20260527    14:40:49       0      3      2      0    100      0      0  10251   2670     96    327 
 20260527    14:40:50       0      3      1      0    100      0      0  10251   2670    165    292 
 20260527    14:40:51       0      3      2      1    100      0      0  10251   2670    110    342 
 20260527    14:40:52       0      2      1      0    100      0      0  10251   2670    139    295 
 20260527    14:40:53       0      3      2      1    100      0      0  10251   2670     93    272 
 20260527    14:40:54       0      2      2      0    100      0      0  10251   2670    135    291 
 20260527    14:40:55       0      2      1      0    100      0      0  10251   2670    157    293 
 20260527    14:40:56       0      3      2      0    100      0      0  10251   2670    122    322 
 20260527    14:40:58       0      3      2      1    100      0      0  10251   2670    124    332 
 20260527    14:40:59       0      2      2      1    100      0      0  10251   2670    147    292 
 20260527    14:41:00       0      2      2      0    100      0      0  10251   2670    537    297 
 20260527    14:41:01       0      3      2      0    100      0      0  10251   2670     99    328 
 20260527    14:41:02       0      3      2      0    100      0      0  10251   2670    139    312 
 20260527    14:41:03       0      3      2      1    100      0      0  10251   2670     81    352 
 20260527    14:41:04       0      2      2      0    100      0      0  10251   2670     76    344 
 20260527    14:41:05       0      2      1      0    100      0      0  10251   2670    146    300 
 20260527    14:41:06       0      3      2      0    100      0      0  10251   2670    132    312 
 20260527    14:41:07       0      2      1      0    100      0      0  10251   2670    130    280 
 20260527    14:41:08       0      2      1      0    100      0      0  10251   2670    163    271 
 20260527    14:41:09       0      2      1      0    100      0      0  10251   2670    123    293 
 20260527    14:41:10       0      2      2      0    100      0      0  10251   2670    172    294 
 20260527    14:41:12       0      2      2      1    100      0      0  10251   2670    126    311 
#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %    MHz    MHz   MB/s   MB/s 
 20260527    14:41:13       0      2      2      1    100      0      0  10251   2670    107    333 
 20260527    14:41:14       0      3      2      0    100      0      0  10251   2670    161    357 
 20260527    14:41:15       0      2      2      1    100      0      0  10251   2670    151    290 
 20260527    14:41:16       0      2      2      0    100      0      0  10251   2670    152    270 
 20260527    14:41:17       0      2      1      0    100      0      0  10251   2670    126    297 
 20260527    14:41:18       0      4      2      1    100      0      0  10251   2670     90    327 
 20260527    14:41:19       0      3      2      1    100      0      0  10251   2670    136    312 
 20260527    14:41:20       0      3      2      0    100      0      0  10251   2670    116    327 
 20260527    14:41:21       0      2      1      0    100      0      0  10251   2670    169    271 
 20260527    14:41:22       0      3      2      1    100      0      0  10251   2670    151    290 
 20260527    14:41:23       0      2      2      0    100      0      0  10251   2670    158    312 
 20260527    14:41:24       0      2      1      0    100      0      0  10251   2670    142    274 
 20260527    14:41:25       0      3      2      0    100      0      0  10251   2670    122    365 
 20260527    14:41:27       0      3      2      1    100      0      0  10251   2670     99    328 
 20260527    14:41:28       0      2      1      1    100      0      0  10251   2670    125    289 
 20260527    14:41:29       0      3      2      0    100      0      0  10251   2670    107    324 
 20260527    14:41:30       0      3      2      0    100      0      0  10251   2670    158    292 
 20260527    14:41:31       0      2      1      0    100      0      0  10251   2670     89    349 
 20260527    14:41:32       0      2      2      0    100      0      0  10251   2670     94    331 
 20260527    14:41:33       0      3      2      1    100      0      0  10251   2670    101    329 
 20260527    14:41:34       0      3      2      1    100      0      0  10251   2670     86    339 
 20260527    14:41:35       0      3      2      1    100      0      0  10251   2670    154    309 
 20260527    14:41:36       0      3      2      0    100      0      0  10251   2670    189    272 
 20260527    14:41:37       0      2      1      0    100      0      0  10251   2670    160    291 
 20260527    14:41:38       0      3      2      1    100      0      0  10251   2670    165    271 
